,0,1,2,3,4
0,1,5,,,
1,0,,6,,
2,,2,4,,
3,0,3,3,,
4,0,,,6,
5,,0,,6,
6,0,2,,4,
7,,,5,1,
8,0,,5,1,
9,,0,4,2,
10,0,0,4,2,
11,0,,,,6
12,,1,,,5
13,0,0,,,6
14,,,2,,4
15,0,,6,,0
16,,0,5,,1
17,0,1,4,,1
18,,,,4,2
19,0,,,6,0
20,,0,,6,0
21,0,0,,6,0
22,,,1,5,0
23,0,,5,1,0
24,,0,2,4,0
25,0,0,2,4,0
