,0,1,2,3,4
0,0,6,,,
1,0,,6,,
2,,2,4,,
3,0,1,5,,
4,0,,,6,
5,,0,,6,
6,0,1,,5,
7,,,3,3,
8,0,,3,3,
9,,0,4,2,
10,0,0,4,2,
11,2,,,,4
12,,0,,,6
13,1,4,,,1
14,,,4,,2
15,0,,6,,0
16,,0,5,,1
17,0,0,6,,0
18,,,,4,2
19,0,,,5,1
20,,1,,5,0
21,0,1,,4,1
22,,,0,6,0
23,0,,4,2,0
24,,1,1,3,1
25,0,0,3,3,0
