,0,1,2,3,4
0,5,1,,,
1,1,,5,,
2,,3,3,,
3,2,0,4,,
4,0,,,6,
5,,1,,5,
6,1,1,,4,
7,,,5,1,
8,0,,5,1,
9,,1,1,4,
10,0,2,3,1,
11,0,,,,6
12,,1,,,5
13,1,0,,,5
14,,,1,,5
15,0,,4,,2
16,,1,3,,2
17,0,1,3,,2
18,,,,4,2
19,0,,,6,0
20,,0,,4,2
21,0,1,,4,1
22,,,4,2,0
23,0,,2,4,0
24,,1,3,2,0
25,0,2,3,1,0
