,0,1,2,3,4
0,4,2,,,
1,2,,4,,
2,,4,2,,
3,1,2,3,,
4,1,,,5,
5,,1,,5,
6,0,4,,2,
7,,,3,3,
8,1,,3,2,
9,,2,3,1,
10,0,1,0,5,
11,1,,,,5
12,,2,,,4
13,0,1,,,5
14,,,0,,6
15,1,,1,,4
16,,0,1,,5
17,1,0,3,,2
18,,,,6,0
19,0,,,3,3
20,,1,,5,0
21,1,0,,3,2
22,,,1,1,4
23,0,,3,2,1
24,,1,1,2,2
25,0,1,1,3,1
